ï»¿Foreign direct investment,Government Expenditure,Interest rate,Population Growth,Unemployment rate
0.306508326,3587916667,211.2055876,-0.903462928,8.26
0.356585212,3253996448,255.1668618,-0.136109142,8.373
1.13391484,4139835296,136.7593928,-0.145379065,8.17
1.119418075,4584710419,32.24248473,-0.202318796,8.01
0.712021743,4311709374,38.82930134,-0.288129486,6.74
3.415299195,4515104758,154.7634804,-0.287897952,5.52
4.870960092,4958774525,59.09658275,-0.206980242,5.63
2.895434209,6010823827,45.80378113,-0.156978616,6.24
2.783613172,6280609819,45.66659404,-0.12944004,6.97
2.864207602,6381106639,34.47701235,-1.395429986,6.56
2.483420201,6828893165,22.53988626,-1.830654994,8.11
3.18995908,9274920203,15.27348899,-0.721262297,6.95
8.59368513,11041815975,11.87436359,-0.569786273,7.72
6.600671758,15988966428,9.014912833,-0.617530957,7.17
9.020060525,19430163871,6.558514123,-0.59240256,7.27
5.786790162,26870173280,4.837329283,-1.477222982,6.41
6.377380857,34035940097,7.850802557,-1.666382643,5.79
2.663770506,28038401941,5.587420043,-0.833088755,6.86
1.890107491,25519934548,6.091416686,-0.593959184,6.96
1.230493315,25935738540,5.789253288,-0.491866213,7.18
1.701289842,24678622917,3.334922677,-0.445177936,6.79
2.031105146,27061792707,3.984712355,-0.371323063,7.1
1.937371107,28809005203,1.068309877,-0.374575498,6.8
2.427275254,24753056108,-0.594156437,-0.470052228,6.81
3.374232672,28219003676,-1.544796668,-0.573660845,5.9
2.832733738,33096400931,1.339021211,-0.578007015,4.93
3.018116041,40537880773,4.625484431,-0.587493307,4.19
2.934230897,44030061882,3.827854326,-0.526814822,3.91
1.433156484,46921742548,2.631073112,-0.550759893,5.03
4.106996735,51105333912,5.052328761,-0.746036479,5.59
3.951735112,50400546020,13.79548874,-0.393250874,5.436